index norm
1 0.0643236763236762
2 0.0296603396603397
3 0.117338661338661
4 0.0678281718281718
5 0.0318761238761239
6 0.0333526473526474
7 0.0233246753246753
8 0.128653346653347
9 0.95923076923077
10 0.137282717282717
11 0.0125934065934066
12 0.147584415584415
13 0.0721938061938062
14 0.937284715284714
15 0.0441418581418581
16 0.0444275724275724
17 0.000257742257742258
18 0.972233766233766
19 0.0182677322677323
20 0.0665714285714286
21 0.088
22 0.0143576423576424
23 0.0367652347652348
24 0.0782817182817182
25 0.954371628371628
26 0.0615084915084915
27 0.0631048951048952
28 0.00408791208791209
29 0.0481718281718282
30 0.13224975024975
31 0.0106753246753247
32 0.957582417582418
33 0.0806853146853146
34 0.0804475524475525
35 0.089984015984016
36 0.000717282717282718
37 0.977346653346653
38 0.0758901098901098
39 0.152791208791209
40 0.0588051948051948
41 0.0573406593406594
42 0.888973026973026
43 0.0346493506493507
44 0.0702357642357642
45 0.0989470529470529
46 0.0442397602397603
47 0.969254745254745
48 0.0780699300699301
49 0.921888111888112
50 0.910901098901098
