index norm
1 0.00241317706103217
2 0.00069233348642902
3 0.00172873216531403
4 0.00313266981476359
5 0.00124929557827159
6 0.0010128496043009
7 0.000811387464574803
8 0.00237909323660942
9 0.956442470665903
10 0.0201103622898517
11 0.00223248843953923
12 0.0476539996981027
13 0.000958689840479049
14 0.960535391816211
15 0.00234743300628179
16 0.00375293377143836
17 0.00066653653416818
18 0.959166260526855
19 0.00044984117266219
20 0.00193734730699355
21 0.00256863222910459
22 0.00102236005748089
23 0.00280915469487972
24 0.00636901916383272
25 0.956466720150096
26 0.00268825724120664
27 0.0015417313978017
28 0.000389150046901927
29 0.00285809114023033
30 0.0177810989533832
31 0.0034889389246856
32 0.958754224685521
33 0.000792693585800975
34 0.00232235381379117
35 0.00278534163684173
36 0.000332113865851837
37 0.964165304593887
38 0.00139913908956415
39 0.00159313941854435
40 0.00656890607373206
41 0.00181953998183176
42 0.92522620456043
43 0.00132807093265459
44 0.00668320485619749
45 0.00338263136865679
46 0.00237536958973361
47 0.965050599444558
48 0.0154261003376891
49 0.95196187247183
50 0.926899346987126
