index norm
1 0.984554455445545
2 0.99960396039604
3 0.986930693069307
4 0.913861386138614
5 0.973069306930693
6 0.992871287128713
7 0.930495049504951
8 0.99960396039604
9 0.979207920792079
10 0.962376237623762
11 0.966138613861386
12 0.981980198019802
13 0.984554455445545
14 0.888910891089109
15 0.973069306930693
16 0.991089108910891
17 0.99960396039604
18 0.99960396039604
19 0.991089108910891
20 0.96970297029703
21 0.935643564356436
22 0.99960396039604
23 0.973069306930693
24 0.991089108910891
25 0.986930693069307
26 0.984554455445545
27 0.930495049504951
28 0.981980198019802
29 0.954257425742574
30 0.979207920792079
31 0.954257425742574
32 0.99960396039604
33 0.930495049504951
34 0.992871287128713
35 0.979207920792079
36 0.954257425742574
37 0.973069306930693
38 0.976237623762376
39 0.99960396039604
40 0.99960396039604
41 0.954257425742574
42 0.973069306930693
43 0.99960396039604
44 0.973069306930693
45 0.907920792079208
46 0.981980198019802
47 0.984554455445545
48 0.962376237623762
49 0.99960396039604
50 0.979207920792079
