index norm
1 0.994455445544555
2 0.99960396039604
3 0.994455445544555
4 0.997029702970297
5 0.998811881188118
6 0.99960396039604
7 0.99960396039604
8 0.994455445544555
9 0.998019801980198
10 0.99960396039604
11 0.998019801980198
12 0.994455445544555
13 0.998019801980198
14 0.995841584158416
15 0.991089108910891
16 0.997029702970297
17 0.998019801980198
18 0.984554455445545
19 0.998811881188118
20 0.997029702970297
21 0.99940594059406
22 0.99960396039604
23 0.99960396039604
24 0.99960396039604
25 0.997029702970297
26 0.99940594059406
27 0.997029702970297
28 0.995841584158416
29 0.995841584158416
30 0.981980198019802
31 0.998811881188118
32 0.995841584158416
33 0.99940594059406
34 0.997029702970297
35 0.99960396039604
36 0.99960396039604
37 0.995841584158416
38 0.998019801980198
39 0.99980198019802
40 0.992871287128713
41 0.99960396039604
42 0.99960396039604
43 0.998019801980198
44 0.998019801980198
45 0.998019801980198
46 0.995841584158416
47 0.998019801980198
48 0.99960396039604
49 0.998019801980198
50 0.991089108910891
