index norm
1 0.821188118811881
2 0.907920792079208
3 0.913861386138614
4 0.91960396039604
5 0.99960396039604
6 0.575247524752475
7 0.99960396039604
8 0.930495049504951
9 0.785940594059406
10 0.99960396039604
11 0.845544554455446
12 0.845544554455446
13 0.868118811881188
14 0.82950495049505
15 0.935643564356436
16 0.812673267326732
17 0.99960396039604
18 0.548910891089109
19 0.94990099009901
20 0.99960396039604
21 0.99960396039604
22 0.785940594059406
23 0.888910891089109
24 0.757425742574257
25 0.875247524752475
26 0.930495049504951
27 0.767128712871287
28 0.293069306930693
29 0.99960396039604
30 0.860792079207921
31 0.99960396039604
32 0.913861386138614
33 0.747524752475248
34 0.853267326732673
35 0.845544554455446
36 0.803960396039604
37 0.727128712871287
38 0.945346534653465
39 0.837623762376237
40 0.803960396039604
41 0.683960396039604
42 0.767128712871287
43 0.99960396039604
44 0.99960396039604
45 0.901782178217822
46 0.821188118811881
47 0.96970297029703
48 0.812673267326732
49 0.737425742574258
50 0.895445544554455
