index norm
1 0.1102357349527
2 0.0978574761148243
3 1
4 0.096872871776997
5 0.03781554139127
6 0.0820677312263713
7 0.0378349340760318
8 0.0411480653072968
9 0.0450751512533528
10 0.0980246253054421
11 0.43329247841825
12 0.0695864618213858
13 0.656356983781764
14 0.453617923272354
15 0.171260913542488
16 0.0525590434276999
17 0.127417082846904
18 0.137515489978479
19 0.0555789419581348
20 0.251374942811727
21 0.0508286429756191
22 0.0449164942580894
23 0.0515475689090393
24 0.207161966095285
25 0.0386260247707182
26 0.0432958905386929
27 0.0972800066517717
28 0.0402953511596877
29 0.0904238215015005
30 0.339126892072904
31 0.0586855551991707
32 0.306838748887595
33 0.0612355318157555
34 0.0683814102166447
35 0.435308498031115
36 0.198292464979668
37 0.0349899322197212
38 0.138932627834446
39 0.0517218641631426
40 0.229244130095811
41 0.122122806326116
42 0.047458893905949
43 0.0542887237244984
44 0.0341758987123993
45 0.0562651247294529
46 0.0972085169270233
47 0.119748395352914
48 0.112039209070589
49 0.233415207223443
50 0.0879487392321887
