iter PGD FW
457 1600 606
458 1591 608
459 1567 608
460 1577 609
461 1598 609
462 1616 609
463 1600 609
464 1596 609
465 1606 609
466 1571 609
467 1574 609
468 1611 609
469 1598 609
470 1546 610
471 1520 610
472 1564 611
473 1574 611
474 1540 611
475 1512 611
476 1547 611
477 1547 613
478 1546 613
479 1621 613
480 1606 613
481 1584 613
482 1610 613
483 1557 613
484 1582 613
485 1580 613
486 1568 613
487 1587 614
488 1563 614
489 1573 614
490 1567 614
491 1555 615
492 1538 615
493 1533 615
494 1562 615
495 1572 615
496 1592 615
497 1618 615
498 1541 615
499 1539 616
500 1557 616
501 1560 617
502 1562 617
503 1585 617
504 1579 617
505 1587 617
506 1572 618
507 1602 620
508 1548 621
509 1580 621
510 1586 621
511 1575 622
512 1580 622
513 1573 623
514 1556 623
515 1539 623
516 1539 623
517 1584 623
518 1559 623
519 1586 623
520 1553 623
521 1571 623
522 1578 623
523 1576 623
524 1557 623
525 1554 623
526 1525 624
527 1532 624
528 1540 624
529 1554 624
530 1539 624
531 1538 625
532 1558 625
533 1566 625
534 1566 625
535 1604 625
536 1620 626
537 1600 626
538 1586 626
539 1602 627
540 1593 627
541 1555 627
542 1576 627
543 1603 627
544 1551 627
545 1573 627
546 1539 627
547 1586 628
548 1559 628
549 1535 628
550 1564 628
551 1607 628
552 1584 628
553 1570 628
554 1560 629
555 1583 630
556 1592 630
557 1587 630
558 1586 631
559 1569 633
560 1565 634
561 1573 634
562 1569 634
563 1583 634
564 1584 635
565 1573 635
566 1561 635
567 1565 635
568 1557 635
569 1555 635
570 1571 635
571 1594 635
572 1596 635
573 1599 635
574 1615 635
575 1610 635
576 1571 635
577 1576 636
578 1564 637
579 1555 637
580 1555 638
581 1538 638
582 1587 639
583 1596 639
584 1574 639
585 1580 639
586 1565 640
587 1552 640
588 1530 640
589 1551 641
590 1586 641
591 1619 641
592 1583 641
593 1572 641
594 1601 642
595 1602 642
596 1569 642
597 1576 643
598 1578 643
599 1603 643
600 1583 643
601 1617 643
602 1580 643
603 1570 643
604 1585 644
605 1567 644
606 1587 644
607 1599 644
608 1600 644
609 1553 644
610 1560 644
611 1566 644
612 1583 644
613 1582 644
614 1603 645
615 1585 645
616 1546 645
617 1556 645
618 1587 645
619 1586 645
620 1556 645
621 1573 645
622 1554 645
623 1542 646
624 1573 646
625 1541 646
626 1516 646
627 1553 646
628 1553 646
629 1580 646
630 1602 647
631 1622 648
632 1569 648
633 1554 648
634 1592 648
635 1585 648
636 1591 648
637 1563 648
638 1594 648
639 1573 648
640 1587 649
641 1604 649
642 1567 649
643 1565 649
644 1580 649
645 1538 649
646 1593 649
647 1558 649
648 1555 649
649 1559 649
650 1547 649
651 1552 649
652 1542 650
653 1529 650
654 1557 650
655 1584 650
656 1600 650
657 1580 651
658 1585 651
659 1563 651
660 1556 651
661 1599 651
662 1570 651
663 1597 652
664 1609 652
665 1596 653
666 1562 654
667 1579 654
668 1597 654
669 1570 655
670 1565 656
671 1563 656
672 1538 656
673 1559 656
674 1564 656
675 1556 656
676 1585 656
677 1553 656
678 1544 657
679 1518 657
680 1548 657
681 1568 657
682 1597 657
683 1619 657
684 1606 658
685 1585 658
686 1571 658
687 1593 658
688 1584 658
689 1581 658
690 1579 658
691 1544 658
692 1547 659
693 1591 659
694 1580 659
695 1593 660
696 1543 660
697 1534 660
698 1553 660
699 1573 660
700 1565 660
701 1585 661
702 1577 661
703 1555 661
704 1589 661
705 1584 661
706 1614 661
707 1598 661
708 1520 661
709 1512 661
710 1551 661
711 1567 661
712 1583 661
713 1540 662
714 1585 662
715 1603 662
716 1599 662
717 1579 662
718 1574 662
719 1566 662
720 1604 662
721 1601 662
722 1620 662
723 1585 662
724 1565 662
725 1556 662
726 1550 663
727 1552 663
728 1568 663
729 1557 663
730 1595 663
731 1573 663
732 1573 663
733 1560 663
734 1537 663
735 1560 663
736 1550 663
737 1565 664
738 1588 665
739 1617 665
740 1608 665
741 1591 665
742 1597 665
743 1613 666
744 1586 666
745 1585 666
746 1567 667
747 1568 667
748 1572 667
749 1554 667
750 1562 667
751 1597 667
752 1575 668
753 1550 668
754 1536 668
755 1559 668
756 1576 668
757 1573 668
758 1598 668
759 1656 668
760 1617 668
761 1622 668
762 1642 668
763 1568 669
764 1570 669
765 1568 669
766 1573 669
767 1570 669
768 1568 669
769 1563 669
770 1526 669
771 1542 671
772 1574 671
773 1568 671
774 1571 671
775 1572 671
776 1583 671
777 1569 672
778 1561 672
779 1579 672
780 1597 672
781 1583 672
782 1553 673
783 1535 673
784 1542 674
785 1523 675
786 1589 675
787 1558 675
788 1573 675
789 1588 675
790 1587 675
791 1571 675
792 1566 675
793 1582 675
794 1573 675
795 1564 675
796 1555 675
797 1575 675
798 1573 675
799 1556 675
800 1546 675
801 1576 675
802 1575 675
803 1579 675
804 1589 675
805 1597 675
806 1588 676
807 1577 676
808 1572 676
809 1548 676
810 1549 676
811 1527 676
812 1535 676
813 1557 676
814 1587 676
815 1597 676
816 1565 676
817 1562 677
818 1576 677
819 1584 677
820 1588 677
821 1544 677
822 1503 677
823 1519 677
824 1517 677
825 1498 677
826 1559 677
827 1588 677
828 1552 678
829 1565 678
830 1564 678
831 1551 678
832 1518 678
833 1544 678
834 1589 678
835 1575 678
836 1578 678
837 1590 678
838 1592 679
839 1588 679
840 1627 680
841 1588 680
842 1572 680
843 1565 680
844 1543 680
845 1548 680
846 1554 681
847 1572 682
848 1546 682
849 1561 682
850 1539 683
851 1555 683
852 1566 683
853 1618 683
854 1569 683
855 1553 683
856 1563 683
857 1533 683
858 1570 683
859 1574 683
860 1582 683
861 1569 683
