iter PGD FW
457 1863 147
458 1863 147
459 1863 147
460 1862 147
461 1862 147
462 1860 147
463 1861 147
464 1861 147
465 1865 147
466 1865 147
467 1859 147
468 1859 147
469 1865 147
470 1865 147
471 1865 147
472 1865 147
473 1865 147
474 1865 147
475 1865 147
476 1861 147
477 1858 147
478 1858 147
479 1859 147
480 1859 147
481 1857 147
482 1855 147
483 1856 147
484 1861 147
485 1861 147
486 1861 147
487 1861 147
488 1862 147
489 1861 147
490 1860 147
491 1861 147
492 1857 147
493 1857 147
494 1859 147
495 1859 147
496 1857 147
497 1856 147
498 1857 147
499 1856 147
500 1857 147
501 1862 147
502 1864 147
503 1864 147
504 1864 147
505 1864 147
506 1864 147
507 1864 147
508 1864 147
509 1864 147
510 1864 147
511 1864 147
512 1863 147
513 1863 147
514 1862 147
515 1862 147
516 1862 147
517 1862 147
518 1861 147
519 1863 147
520 1863 147
521 1863 147
522 1863 147
523 1862 147
524 1862 147
525 1863 147
526 1863 147
527 1863 147
528 1863 147
529 1862 147
530 1862 147
531 1862 147
532 1862 147
533 1862 147
534 1861 147
535 1860 147
536 1861 147
537 1861 147
538 1861 147
539 1862 147
540 1861 147
541 1862 147
542 1861 147
543 1861 147
544 1861 147
545 1861 147
546 1861 147
547 1863 147
548 1863 147
549 1862 147
550 1862 147
551 1862 147
552 1861 147
553 1860 147
554 1860 147
555 1860 147
556 1860 147
557 1860 147
558 1861 147
559 1861 147
560 1862 147
561 1862 147
562 1862 147
563 1862 147
564 1862 147
565 1862 147
566 1861 147
567 1862 147
568 1862 147
569 1862 147
570 1862 147
571 1862 147
572 1861 147
573 1861 147
574 1861 147
575 1861 147
576 1861 147
577 1861 147
578 1861 147
579 1861 147
580 1861 147
581 1861 147
582 1861 147
583 1861 147
584 1861 147
585 1861 147
586 1861 147
587 1861 147
588 1860 147
589 1860 147
590 1860 147
591 1859 147
592 1858 147
593 1856 147
594 1858 147
595 1858 147
596 1858 147
597 1858 147
598 1858 147
599 1858 147
600 1859 147
601 1860 147
602 1861 147
603 1865 147
604 1863 147
605 1880 147
606 1875 147
607 1873 147
608 1871 147
609 1871 147
610 1873 147
611 1871 147
612 1870 147
613 1873 147
614 1880 147
615 1891 147
616 1893 147
617 1893 147
618 1894 147
619 1896 147
620 1896 147
621 1897 147
622 1897 147
623 1896 147
624 1898 147
625 1901 147
626 1902 147
627 1901 147
628 1901 147
629 1900 147
630 1900 147
631 1904 147
632 1903 147
633 1902 147
634 1905 147
635 1905 147
636 1904 147
637 1905 147
638 1905 147
639 1904 147
640 1904 147
641 1906 147
642 1905 147
643 1903 147
644 1902 147
645 1930 147
646 1934 147
647 1933 147
648 1932 147
649 1932 147
650 1934 147
651 1932 147
652 1931 147
653 1932 147
654 1934 147
655 1934 147
656 1936 147
657 1939 147
658 1940 147
659 1940 147
660 1941 147
661 1942 147
662 1940 147
663 1938 147
664 1941 147
665 1940 147
666 1939 147
667 1938 147
668 1940 147
669 1939 147
670 1938 147
671 1937 147
672 1936 147
673 1938 147
674 1938 147
675 1939 147
676 1937 147
677 1936 147
678 1935 147
679 1934 147
680 1933 147
681 1932 147
682 1930 147
683 1930 147
684 1931 147
685 1931 147
686 1932 147
687 1932 147
688 1933 147
689 1934 147
690 1934 147
691 1940 147
692 1940 147
693 1941 147
694 1941 147
695 1940 147
696 1940 147
697 1940 147
698 1953 147
699 1952 147
700 1952 147
701 1952 147
702 1951 147
703 1950 147
704 1951 147
705 1951 147
706 1958 147
707 1957 147
708 1957 147
