N FG FW
2016 0.304096221923828 0.0371055603027344
3742 0.804935455322266 0.0391426086425781
4718 1.2909049987793 0.0674209594726562
4944 1.41431427001953 0.0783271789550781
4956 1.40805435180664 0.0649795532226562
5423 1.67962646484375 0.0729026794433594
5967 2.00312805175781 0.0814018249511719
9880 5.27166366577148 0.082733154296875
